network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
126.47,0.37,19.95,7.0,147.17,
112.49,3.53,51.58,7.22,132.89,
111.92,2.28,40.79,4.98,150.21,
145.08,1.74,38.42,5.21,139.3,
143.39,2.16,32.53,5.31,182.33,
119.73,1.6,35.0,2.31,161.63,
280.13,2.76,26.64,218.41,172.91,exfiltration
286.96,0.75,37.43,207.25,263.21,exfiltration
142.66,0.77,28.0,4.01,152.65,
80.07,2.37,26.07,2.81,181.01,
121.81,3.29,40.14,5.36,123.58,
101.66,1.35,40.95,4.43,152.38,
130.74,1.57,32.49,8.17,146.01,
126.92,2.01,34.28,4.41,125.74,
149.98,1.09,27.4,4.45,125.8,
121.02,1.77,37.06,0.96,116.01,
127.77,1.51,34.21,7.93,130.33,
104.67,2.17,30.37,4.84,149.9,
122.63,1.48,31.16,2.78,165.66,
118.13,2.91,36.17,2.78,118.61,
123.83,0.78,34.36,6.63,161.79,
100.04,1.93,48.04,8.02,149.75,
128.5,0.07,22.01,7.11,117.21,
137.71,5.4,28.44,3.95,217.16,
126.52,2.03,29.06,2.72,147.13,
130.3,5.04,45.71,5.85,163.49,
122.33,2.31,41.5,5.26,147.39,
134.77,2.26,39.0,8.58,172.91,
100.34,0,27.11,1.68,155.59,
115.65,3.85,34.61,5.04,149.13,
107.72,1.34,43.04,0.34,193.54,
107.76,0.33,41.31,2.05,153.46,
124.85,2.54,43.22,2.98,180.49,
630.21,2.44,102.78,6.53,631.84,ddos
615.89,3.78,54.22,6.51,1176.68,ddos
492.83,3.99,51.63,7.26,645.19,ddos
777.53,2.9,54.74,1.51,1110.0,ddos
142.49,3.04,43.21,6.33,161.51,
126.96,1.7,32.37,4.83,148.49,
109.45,0.41,27.07,3.08,169.26,
115.56,2.48,36.16,4.94,152.63,
111.32,0.4,30.37,6.32,147.64,
106.11,2.74,38.64,5.69,145.61,
111.1,1.37,25.34,5.17,172.96,
279.19,2.06,27.28,248.84,216.66,exfiltration
241.95,1.03,36.59,80.2,229.44,exfiltration
216.77,0.52,39.49,169.18,236.39,exfiltration
262.59,3.63,49.84,66.86,309.55,exfiltration
363.64,4.4,50.51,139.88,190.84,exfiltration
139.82,0.4,31.15,7.1,169.3,
136.59,0.17,47.9,3.59,164.29,
113.12,2.69,31.04,3.95,111.68,
116.15,3.47,43.55,3.17,162.64,
131.96,2.14,28.82,6.47,138.98,
106.09,3.5,34.49,3.35,154.37,
