network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
133.86,1.91,33.98,7.72,150.31,
121.5,3.22,38.65,5.22,165.99,
146.09,0.55,57.42,3.81,150.05,
910.31,0.18,78.95,11.37,1003.76,ddos
678.32,1.78,89.66,10.73,669.05,ddos
99.6,3.41,31.86,6.87,168.46,
125.3,2.97,43.92,3.15,189.85,
113.06,0.84,39.21,4.03,149.83,
129.34,1.96,32.34,8.37,144.08,
118.63,0,33.87,4.2,155.38,
98.42,1.9,34.65,5.96,141.71,
108.78,2.99,41.29,4.7,170.48,
119.18,1.09,33.94,4.42,111.68,
103.55,1.88,33.3,3.84,165.33,
89.55,1.82,34.68,5.51,169.06,
102.91,1.13,41.66,3.83,168.47,
114.64,1.21,36.56,7.74,144.73,
115.01,2.94,16.82,4.16,142.61,
130.04,2.4,36.85,2.89,138.21,
129.98,1.57,32.68,2.88,177.78,
127.68,2.91,24.76,3.98,142.91,
133.33,3.06,20.99,4.43,185.16,
121.83,1.62,34.06,4.44,130.87,
125.95,3.76,34.3,4.89,111.26,
110.61,0.53,40.19,4.0,177.41,
79.47,1.4,37.55,8.05,140.44,
111.51,0.65,32.87,4.44,133.68,
124.33,3.04,29.17,2.75,134.86,
266.55,1.93,58.27,88.22,196.97,exfiltration
223.65,1.72,51.03,46.47,237.08,exfiltration
213.84,2.7,21.61,263.34,298.91,exfiltration
270.56,2.52,44.2,27.64,220.36,exfiltration
153.74,1.9,33.46,6.13,146.35,
123.12,2.13,38.34,4.07,152.16,
129.85,0.78,45.24,3.3,145.93,
112.16,2.21,48.04,7.27,159.33,
115.45,1.78,41.66,7.1,126.8,
105.44,1.09,26.9,4.68,152.06,
129.67,3.96,26.82,0,164.0,
123.74,0.07,30.76,3.03,142.57,
110.04,3.51,34.39,3.31,160.45,
81.55,2.99,27.92,3.65,122.93,
115.52,3.35,49.81,4.93,138.39,
95.64,2.0,24.82,2.83,154.04,
124.1,1.08,31.79,4.33,139.65,
125.09,0.57,34.96,1.73,157.62,
103.55,1.81,46.87,5.05,139.97,
119.57,1.31,33.2,0,132.47,
121.71,1.74,28.86,3.48,153.97,
116.29,0.37,43.74,3.5,138.46,
118.85,2.74,46.8,2.03,122.25,
103.15,2.02,54.45,5.5,126.77,
133.75,0.91,48.85,3.08,205.43,
132.25,2.39,30.43,5.02,123.1,
144.67,2.65,32.19,5.03,152.14,
141.47,1.93,26.3,5.46,146.38,
120.6,4.04,50.37,5.99,162.01,
94.88,0.9,36.12,3.35,168.82,
147.1,1.29,36.57,8.92,126.57,
136.72,2.99,43.48,5.99,156.98,
120.81,0.86,44.42,7.74,148.0,
121.2,0,35.33,1.88,139.0,
128.57,1.54,39.77,4.91,164.84,
86.16,2.88,42.3,5.65,106.93,
118.68,2.72,33.1,1.76,165.44,
111.19,3.22,34.49,6.87,169.5,
140.78,3.8,21.75,9.15,112.76,
140.81,3.17,36.06,3.36,122.86,
88.43,2.03,22.16,4.58,156.95,
109.96,0.89,39.7,10.34,137.11,
125.06,4.96,31.2,1.89,186.73,
113.9,1.05,43.11,2.9,151.87,
117.19,1.72,38.57,4.36,123.01,
123.55,0,37.5,4.4,155.63,
107.82,3.3,40.74,5.16,132.06,
136.04,2.3,25.46,1.86,154.87,
100.36,1.07,35.74,4.68,165.36,
142.56,2.41,38.82,2.95,148.36,
106.4,0.97,37.3,3.38,143.35,
109.44,2.49,34.81,5.0,141.48,
93.26,0.64,46.16,4.62,143.62,
130.17,3.21,25.19,6.87,133.9,
144.19,0.35,32.81,6.76,136.12,
116.78,1.03,34.06,3.17,149.46,
233.45,50.6,56.45,6.01,275.64,bruteforce
152.67,59.88,36.2,4.48,285.62,bruteforce
159.26,76.58,41.56,5.37,332.33,bruteforce
175.97,58.58,50.02,3.15,268.76,bruteforce
128.5,0.43,36.39,5.94,175.45,
114.46,4.1,21.31,6.82,151.27,
120.57,3.74,38.95,4.86,131.95,
120.31,4.09,21.13,6.13,165.87,
125.96,1.52,42.27,4.71,132.22,
110.17,1.22,36.94,6.85,122.56,
254.69,5.14,49.34,177.72,205.4,exfiltration
303.46,4.8,52.18,236.77,205.32,exfiltration
206.25,1.16,23.53,299.23,253.78,exfiltration
246.27,2.26,37.3,121.1,227.61,exfiltration
132.08,0.74,36.29,3.97,152.34,
126.8,2.84,46.93,6.43,143.59,
114.29,2.25,41.59,10.01,143.68,
112.9,1.06,41.13,6.46,141.69,
131.18,1.45,36.82,4.5,142.96,
131.88,0.39,42.89,3.85,123.16,
273.44,2.11,43.2,18.28,212.86,exfiltration
330.14,2.51,56.98,195.69,191.75,exfiltration
197.2,3.98,37.66,99.26,168.67,exfiltration
231.33,1.62,37.45,110.09,236.04,exfiltration
122.49,0.52,48.24,5.07,147.08,
676.65,1.34,59.62,8.37,738.76,ddos
615.37,5.05,86.82,5.85,789.75,ddos
921.72,2.92,35.31,6.33,681.61,ddos
147.11,2.39,33.77,1.34,155.29,
143.42,0.22,30.52,6.05,132.85,
126.96,2.47,48.78,2.66,126.17,
157.82,2.54,26.78,3.8,160.95,
119.39,0.68,33.12,7.16,132.96,
192.78,42.75,29.95,4.96,249.44,bruteforce
149.1,70.76,38.31,0.77,335.54,bruteforce
160.7,34.09,50.85,3.83,205.57,bruteforce
136.01,0,22.62,8.03,156.13,
139.43,0.82,33.83,0.49,156.39,
99.15,1.03,20.73,4.89,190.24,
156.07,2.71,40.32,3.72,136.82,
113.06,2.23,47.41,4.78,175.82,
138.11,2.51,12.79,5.32,153.69,
96.03,1.58,48.94,1.48,166.72,
109.82,1.56,40.69,3.73,192.07,
155.95,0.33,25.24,8.77,166.82,
248.27,3.95,31.47,240.98,220.04,exfiltration
279.16,3.82,39.91,101.88,231.72,exfiltration
249.06,0.57,54.79,242.74,219.78,exfiltration
258.37,1.15,65.21,195.47,261.21,exfiltration
99.88,3.34,40.89,4.33,153.93,
110.08,2.03,44.04,5.13,120.77,
124.61,2.49,35.38,4.04,165.89,
115.07,1.1,43.17,6.79,155.53,
552.62,4.34,61.08,8.43,929.6,ddos
576.44,2.14,65.74,11.01,949.67,ddos
804.76,1.2,41.81,8.3,957.05,ddos
116.03,1.95,29.89,8.51,175.8,
106.36,0.55,28.96,5.18,112.58,
120.06,2.97,31.51,8.82,138.89,
102.78,1.49,40.85,4.37,165.83,
109.99,0.56,35.09,6.27,162.0,
142.13,0,33.5,5.64,169.43,
137.78,0.94,33.57,10.21,183.31,
138.61,1.78,43.68,3.35,153.16,
95.74,2.16,34.68,4.49,184.49,
121.28,1.86,29.77,7.53,117.01,
121.94,0.87,34.72,3.67,149.16,
114.43,2.68,36.9,7.42,157.35,
121.91,2.0,45.26,6.3,155.8,
98.23,0.86,30.02,4.27,130.77,
118.87,0,46.35,5.33,145.79,
95.28,4.16,28.29,3.08,162.03,
122.31,1.73,36.55,2.38,121.2,
133.69,2.03,16.13,4.18,165.22,
97.54,0.17,25.81,8.24,108.49,
106.06,0.64,47.39,3.19,143.94,
139.43,1.16,49.55,7.41,104.21,
76.09,2.83,26.66,4.64,151.97,
278.21,2.68,51.85,190.58,223.42,exfiltration
291.99,4.97,37.57,203.36,255.84,exfiltration
271.1,1.96,67.58,375.12,179.34,exfiltration
241.2,2.14,52.14,260.85,248.65,exfiltration
102.74,2.71,25.53,5.88,165.52,
126.99,0.25,30.85,3.63,96.57,
111.55,0,26.21,3.25,148.29,
114.3,3.34,27.09,7.31,115.79,
130.9,1.5,40.24,5.24,159.55,
