network_traffic_mbps,failed_logins,cpu_usage_pct,data_egress_mb,active_connections,attack_type
130.64,2.26,25.58,7.35,146.5,
177.72,5.11,78.08,32.28,195.29,ransomware
196.8,14.44,66.7,19.68,269.49,ransomware
176.9,7.94,60.13,18.19,194.08,ransomware
201.45,0.0,68.24,11.76,182.02,ransomware
132.7,2.0,46.92,6.67,138.01,
143.95,2.9,42.27,5.31,127.62,
125.93,1.11,49.08,4.01,154.55,
114.77,0.9,43.48,3.46,125.03,
214.59,1.98,43.71,301.03,205.08,exfiltration
266.36,2.55,51.83,35.22,177.63,exfiltration
235.44,2.82,57.98,204.32,164.08,exfiltration
258.11,2.44,43.35,133.62,198.59,exfiltration
259.16,3.47,44.28,82.36,141.63,exfiltration
225.66,1.7,35.55,99.75,187.19,exfiltration
118.41,4.37,41.5,3.91,162.39,
107.86,4.01,30.29,5.81,147.18,
94.93,4.13,29.04,5.7,149.78,
122.33,1.9,30.3,5.14,136.71,
136.33,4.68,33.66,6.19,140.29,
115.01,3.19,36.96,5.06,161.16,
302.74,1.71,47.69,234.44,158.68,exfiltration
221.73,4.29,46.06,148.42,182.34,exfiltration
122.19,1.54,45.94,8.17,169.59,
138.59,2.49,50.45,7.82,170.75,
102.77,0.35,24.36,2.33,115.99,
145.4,4.03,33.63,5.71,189.23,
154.79,1.28,40.17,3.76,143.5,
132.5,1.23,29.15,3.48,178.64,
127.77,0.49,29.98,4.54,133.73,
107.53,3.78,47.44,4.39,156.79,
145.18,3.13,36.22,4.65,117.6,
131.76,3.27,26.14,3.71,176.29,
135.36,2.02,34.88,5.5,167.42,
115.3,1.85,29.41,5.38,147.72,
132.33,2.63,27.19,6.79,173.0,
112.1,4.48,31.21,3.05,158.24,
165.84,67.34,32.43,3.27,238.84,bruteforce
153.71,87.35,44.47,9.35,201.29,bruteforce
176.84,59.43,48.18,7.68,223.46,bruteforce
120.18,2.36,39.02,6.55,152.51,
225.12,106.59,29.9,7.88,284.31,bruteforce
106.43,27.72,50.15,2.79,232.45,bruteforce
107.59,2.01,31.67,1.39,164.12,
259.68,0.46,56.36,163.62,236.51,exfiltration
222.58,3.04,34.11,58.55,191.14,exfiltration
269.61,4.64,46.06,57.63,216.15,exfiltration
266.96,5.16,58.92,168.54,205.01,exfiltration
112.09,0.32,35.36,3.98,175.72,
118.02,2.51,18.82,4.86,159.96,
125.71,1.22,42.18,6.36,167.6,
118.03,2.83,13.34,4.55,157.33,
118.03,2.46,47.28,5.42,149.4,
110.62,1.22,35.21,6.79,145.89,
118.87,0,27.87,6.65,162.59,
98.61,0,37.56,9.47,125.44,
163.08,27.15,44.92,5.24,237.22,bruteforce
181.33,18.09,40.55,8.3,330.36,bruteforce
202.14,57.07,54.03,5.67,219.3,bruteforce
122.6,2.32,50.04,6.43,183.27,
107.11,2.41,33.49,5.3,185.44,
